,station,緯度,経度,id,person
0,船橋,35.701865,139.984707,1,A
1,新船橋,35.710993,139.979765,2,A
2,塚田,35.722102,139.982859,3,A
3,馬込沢,35.741586,139.992199,4,A
4,鎌ヶ谷,35.763765,139.997266,5,A
5,新鎌ヶ谷,35.780221,139.999455,6,A
6,六実,35.793715,139.999195,7,A
7,高柳,35.808211,139.998936,8,A
8,逆井,35.823336,139.983812,9,A
9,増尾,35.829704,139.976604,10,A
10,新柏,35.838128,139.966994,11,A
11,柏,35.862316,139.971148,12,A
12,豊四季,35.86657,139.93929,13,A
13,流山おおたかの森,35.872051,139.925898,14,A
14,初石,35.883783,139.917861,15,A
15,江戸川台,35.897344,139.91045,16,A
16,運河,35.914392,139.906063,17,A
17,梅郷,35.931575,139.891086,18,A
18,野田市,35.943652,139.870728,19,A
19,愛宕,38.397371,141.065,20,A
20,清水公園,35.959364,139.85967,21,A
21,七光台,35.970884,139.852906,22,A
22,川間,35.979172,139.83385,23,A
23,南桜井,35.980441,139.807988,24,A
24,藤の牛島,35.98026,139.778038,25,A
25,春日部,35.980095,139.752345,26,A
26,春日部,35.980095,139.752345,27,A
27,北春日部,35.990655,139.744012,28,A
28,姫宮,36.004384,139.738674,29,A
29,東武動物公園,36.024604,139.726901,30,A
30,和戸,36.039562,139.701156,31,A
31,久喜,36.065684,139.67727,32,A
32,鷲宮,36.09626,139.656945,33,A
33,花崎,36.109891,139.633522,34,A
34,加須,36.122992,139.595584,35,A
35,南羽生,36.14959,139.55696,36,A
36,羽生,36.170345,139.533949,37,A
37,川俣,36.208778,139.52652,38,A
38,茂林寺前,36.226331,139.527058,39,A
39,館林,36.246606,139.527811,40,A
40,館林,36.246606,139.527811,41,A
41,成島,37.94335,140.075584,42,A
42,本中野,36.25843,139.469546,43,A
43,篠塚,36.256788,139.446077,44,A
44,東小泉,36.259696,139.428456,45,A
45,竜舞,36.278894,139.409002,46,A
46,太田,36.294228,139.378779,47,A
47,太田,36.294228,139.378779,48,A
48,細谷,36.282523,139.348509,49,A
49,木崎,36.271393,139.312988,50,A
50,世良田,36.272931,139.282038,51,A
51,境町,36.277191,139.256177,52,A
52,剛志,36.295428,139.223792,53,A
53,新伊勢崎,36.318052,139.201816,54,A
54,伊勢崎,36.326849,139.193704,55,A
